LogFilename: 2020-03-08-19:41:10_monitoringLog
JSonLogFilename: 2020-03-08-19:41:10_monitoringLog
vector_extension	format	bitwidth	countValuesSmall	countValuesLarge	repetition	runtime:µs	runtime compr [µs]	runtime decompr [µs]	check
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	33	1024	134217728	2	322988	244083	55643	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	33	1024	134217728	2	304459	232721	48833	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	34	1024	134217728	2	331600	250189	57535	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	34	1024	134217728	2	312303	239308	49424	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	35	1024	134217728	2	341819	258843	58396	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	35	1024	134217728	2	322375	246487	51616	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	36	1024	134217728	2	346822	264488	57157	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	36	1024	134217728	2	328621	252791	50956	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	37	1024	134217728	2	359771	272628	61343	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	37	1024	134217728	2	340772	260630	54560	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	38	1024	134217728	2	368382	277979	63961	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	38	1024	134217728	2	349084	267353	55522	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	39	1024	134217728	2	375746	284691	63967	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	39	1024	134217728	2	357990	273694	57413	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	40	1024	134217728	2	387228	296790	62671	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	40	1024	134217728	2	363745	279700	56559	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	41	1024	134217728	2	393595	298219	67038	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	41	1024	134217728	2	380422	291976	60347	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	42	1024	134217728	2	406327	307093	70236	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	42	1024	134217728	2	383879	293083	61831	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	43	1024	134217728	2	411740	312382	69611	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	43	1024	134217728	2	399849	300676	69810	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	44	1024	134217728	2	416916	318133	68472	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	44	1024	134217728	2	405019	306565	68482	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	45	1024	134217728	2	428806	325619	72235	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	45	1024	134217728	2	416736	320170	65863	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	46	1024	134217728	2	439566	332070	75900	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	46	1024	134217728	2	424476	324945	68199	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	47	1024	134217728	2	446731	339095	75373	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	47	1024	134217728	2	430492	329975	68521	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	48	1024	134217728	2	450384	344148	73289	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	48	1024	134217728	2	432163	333003	66537	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	49	1024	134217728	2	464503	352928	78060	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	49	1024	134217728	2	449753	345177	71255	1
avx512<v512<uint64_t>>	dynamic_vbp_f<512, 64, 8>	50	1024	134217728	2	475146	359270	81692	1
avx512<v512<uint64_t>>	static_vbp_f<vbp_l<bw, 8> >	50	1024	134217728	2	457812	347882	75919	1
