LogFilename: 2020-06-01-21:42:38_monitoringLog
JSonLogFilename: 2020-06-01-21:42:38_monitoringLog
[MEA]
colName	formatWithBw	formatWithoutBw	valueCount	valueCountCompr	sizeUsedByte	sizeComprByte
C_253	static_vbp_f<vbp_l<5, 8> >	static_vbp_f<vbp_l<bw, 8> >	10	0	720	0
C_253	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	10	0	8400	0
C_253	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	10	0	16720	0
C_253	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	10	0	16848	0
X_86	uncompr_f	uncompr_f	144419127	0	1155353016	0
X_86	static_vbp_f<vbp_l<10, 8> >	static_vbp_f<vbp_l<bw, 8> >	144419127	144418816	180527288	180523520
X_86	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	144419127	144418816	180816440	180805632
X_86	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	144419127	144418816	1164395832	1164376704
X_86	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	144419127	144418816	190697272	190678016
X_255	uncompr_f	uncompr_f	2311643	0	18493144	0
X_255	static_vbp_f<vbp_l<7, 8> >	static_vbp_f<vbp_l<bw, 8> >	2311643	2311168	2026968	2022272
X_255	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	2311643	2311168	2038936	2026816
X_255	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	delta_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	2311643	2311168	18654232	18633792
X_255	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	for_f<1024, 8, dynamic_vbp_f<512, 64, 8> >	2311643	2311168	2205400	2184832
X_181	uncompr_f	uncompr_f	11574716	0	92597728	0
X_181	static_vbp_f<vbp_l<16, 8> >	static_vbp_f<vbp_l<bw, 8> >	11574716	11574272	23154144	23148544
X_181	dynamic_vbp_f<512, 64, 8>	dynamic_vbp_f<512, 64, 8>	11574716	11574272	23183072	23171200
